TRIAL_TYPE	CUE_ONSET	CUE_DURATION	FIXATION_ONSET	FIXATION_DURATION	PROBE_ONSET	PROBE_DURATION	FEEDBACK_ONSET	FEEDBACK_DURATION	TRIAL_RESULT	RESULT_REASON	PROBE_HIT	PROBE_MRT
LargeGain	0.015	2	1.998	1.5	3.497	0.369	3.947	1.581	You did not earn $5!	You pressed too slow!	0	0
LargeGain	5.514	2	7.497	4.0	11.496	0.369	11.946	1.581	You did not earn $5!	You pressed too slow!	0	0
SmallGain	13.513	2	15.496	2.5	17.995	0.369	18.445	1.581	You earn $0.20!	Correct Response!	1	324
SmallGain	20.012	2	21.995	4.0	25.994	0.409	26.478	1.541	You earn $0.20!	Correct Response!	1	356
LargeGain	28.011	2	29.994	2.0	31.993	0.409	32.477	1.541	You earn $5!	Correct Response!	1	333
NoMoneyStake	34.01	2	35.993	3.0	38.992	0.409	39.476	1.541	No money at stake!	You pressed too slow!	0	0
SmallLoss	41.009	2	42.992	1.5	44.492	0.409	44.975	1.541	You lose $0.20!	You pressed too slow!	0	0
LargeLoss	46.508	2	48.491	2.0	50.491	0.429	50.991	1.521	You keep $5!	Correct Response!	1	290
LargeGain	52.507	2	54.49	3.0	57.49	0.429	57.99	1.521	You earn $5!	Correct Response!	1	283
LargeLoss	59.506	2	61.489	2.0	63.489	0.429	63.989	1.521	You lose $5!	You pressed too slow!	0	0
NoMoneyStake	65.505	2	67.488	4.0	71.488	0.409	71.971	1.541	No money at stake!	You pressed too slow!	0	0
SmallLoss	73.504	2	75.487	3.5	78.987	0.409	79.47	1.541	You keep $0.20!	Correct Response!	1	369
SmallLoss	81.003	2	82.986	1.5	84.486	0.409	84.969	1.541	You keep $0.20!	Correct Response!	1	318
LargeLoss	86.502	2	88.485	1.5	89.985	0.409	90.468	1.541	You lose $5!	You pressed too slow!	0	0
SmallGain	92.002	2	93.985	2.0	95.984	0.389	96.451	1.561	You earn $0.20!	Correct Response!	1	344
SmallLoss	98.001	2	99.984	2.0	101.984	0.389	102.45	1.561	You keep $0.20!	Correct Response!	1	379
LargeLoss	104.0	2	105.983	1.5	107.483	0.389	107.949	1.561	You keep $5!	Correct Response!	1	368
LargeGain	109.499	2	111.482	3.5	114.982	0.359	115.415	1.591	You earn $5!	Correct Response!	1	317
NoMoneyStake	116.998	2	118.981	1.5	120.481	0.359	120.914	1.591	No money at stake!	You pressed too slow!	0	0
SmallLoss	122.497	2	124.48	2.0	126.48	0.359	126.913	1.591	You keep $0.20!	Correct Response!	1	330
NoMoneyStake	128.496	2	130.479	2.0	132.479	0.359	132.912	1.591	No money at stake!	Correct Response!	1	283
SmallGain	134.496	2	136.479	1.5	137.978	0.359	138.412	1.591	You did not earn $0.20!	You pressed too slow!	0	0
NoMoneyStake	139.995	2	141.978	1.5	143.478	0.329	143.878	1.621	No money at stake!	Correct Response!	1	300
SmallGain	145.494	2	147.477	3.0	150.477	0.329	150.877	1.621	You did not earn $0.20!	You pressed too slow!	0	0
LargeGain	152.493	2	154.476	1.5	155.976	0.329	156.376	1.621	You did not earn $5!	You pressed too soon!	0	0
NoMoneyStake	157.992	2	159.975	2.0	161.975	0.329	162.375	1.621	No money at stake!	You pressed too slow!	0	0
SmallGain	163.991	2	165.974	2.0	167.974	0.329	168.374	1.621	You did not earn $0.20!	You pressed too slow!	0	0
SmallLoss	169.991	2	171.974	1.5	173.473	0.369	173.923	1.581	You keep $0.20!	Correct Response!	1	323
SmallLoss	175.49	2	177.473	3.0	180.472	0.369	180.922	1.581	You keep $0.20!	Correct Response!	1	304
NoMoneyStake	182.489	2	184.472	1.5	185.972	0.369	186.422	1.581	No money at stake!	Correct Response!	1	332
SmallGain	187.988	2	189.971	1.5	191.471	0.369	191.921	1.581	You earn $0.20!	Correct Response!	1	361
SmallGain	193.487	2	195.47	3.5	198.97	0.389	199.436	1.561	You earn $0.20!	Correct Response!	1	374
LargeGain	200.986	2	202.969	1.5	204.469	0.389	204.936	1.561	You earn $5!	Correct Response!	1	315
LargeGain	206.485	2	208.468	2.5	210.968	0.389	211.435	1.561	You earn $5!	Correct Response!	1	335
SmallLoss	212.984	2	214.968	2.5	217.467	0.339	217.884	1.611	You lose $0.20!	You pressed too slow!	0	0
SmallLoss	219.484	2	221.467	4.0	225.466	0.339	225.883	1.611	You lose $0.20!	You pressed too slow!	0	0
SmallGain	227.482	2	229.465	1.5	230.965	0.339	231.382	1.611	You did not earn $0.20!	You pressed too slow!	0	0
SmallLoss	232.982	2	234.965	1.5	236.465	0.359	236.898	1.591	You lose $0.20!	You pressed too soon!	0	0
LargeLoss	238.481	2	240.464	1.5	241.964	0.359	242.397	1.591	You lose $5!	You pressed too slow!	0	0
NoMoneyStake	243.98	2	245.963	1.5	247.463	0.359	247.896	1.591	No money at stake!	Correct Response!	1	351
NoMoneyStake	249.479	2	251.462	2.5	253.962	0.359	254.395	1.591	No money at stake!	Correct Response!	1	332
LargeLoss	255.978	2	257.961	1.5	259.461	0.359	259.895	1.591	You keep $5!	Correct Response!	1	320
LargeLoss	261.478	2	263.461	4.0	267.46	0.409	267.943	1.541	You lose $5!	You pressed too slow!	0	0
NoMoneyStake	269.477	2	271.46	3.5	274.959	0.409	275.442	1.541	No money at stake!	You pressed too slow!	0	0
SmallGain	276.975	2	278.958	1.5	280.458	0.409	280.942	1.541	You did not earn $0.20!	You pressed too slow!	0	0
LargeGain	282.475	2	284.458	2.0	286.457	0.409	286.941	1.541	You earn $5!	Correct Response!	1	355
LargeGain	288.474	2	290.457	1.5	291.957	0.449	292.473	1.501	You earn $5!	Correct Response!	1	319
LargeLoss	293.973	2	295.956	3.0	298.956	0.449	299.472	1.501	You keep $5!	Correct Response!	1	344
LargeLoss	300.972	2	302.955	3.5	306.455	0.449	306.971	1.501	You keep $5!	Correct Response!	1	333
LargeLoss	308.471	2	310.454	2.5	312.954	0.429	313.454	1.521	You keep $5!	Correct Response!	1	425
